wcr_number,mean_ci_upper,pump_loc,mean_ci_lower,tot_completed_depth,gwl_2019,gsp_name,x,y
WCR1989-010189,174.21784380642643,172.2045792508889,170.1913146953514,265,72.53503674471494,Eastern San Joaquin,-120.86303999999997,38.17087999999998
WCR1989-010564,184.70518018834804,182.6913873259737,180.67759446359935,280,79.85184633540756,Eastern San Joaquin,-120.95469999999999,38.199279999999995
WCR1989-010565,198.75245286162365,196.73797696571287,194.7235010698021,300,97.43493383494507,Eastern San Joaquin,-120.89967,38.12660000000001
WCR1989-010566,198.75245286162365,196.73797696571287,194.7235010698021,300,97.43493383494507,Eastern San Joaquin,-120.89967,38.12660000000001
WCR1989-010567,198.75245286162365,196.73797696571287,194.7235010698021,300,79.85184633540756,Eastern San Joaquin,-120.93643000000002,38.19924999999999
WCR1989-010568,156.83710770245818,154.82475491249656,152.81240212253493,240,79.85184633540756,Eastern San Joaquin,-120.93643000000002,38.19924999999999
WCR1989-010569,184.70518018834804,182.6913873259737,180.67759446359935,280,79.85184633540756,Eastern San Joaquin,-120.93643000000002,38.19924999999999
WCR1989-010581,280.7551155164714,278.7371372925849,276.71915906869845,415,81.50024538071347,Eastern San Joaquin,-120.9177,38.1705
WCR1989-012017,202.27524414793578,200.26060122171125,198.24595829548673,305,81.50024538071347,Eastern San Joaquin,-120.9177,38.1705
WCR1989-012076,156.83710770245818,154.82475491249656,152.81240212253493,240,81.50024538071347,Eastern San Joaquin,-120.90001999999998,38.170579999999994
WCR1989-012237,129.31044891263932,127.29963501144577,125.28882111025223,200,95.52748593940628,Eastern San Joaquin,-120.95429,38.18472
WCR1989-012276,198.75245286162365,196.73797696571287,194.7235010698021,300,79.85184633540756,Eastern San Joaquin,-120.93643000000002,38.19924999999999
WCR1989-012381,198.75245286162365,196.73797696571287,194.7235010698021,300,81.50024538071347,Eastern San Joaquin,-120.91781,38.15579999999999
WCR1989-012384,234.1645781831667,232.14849570978063,230.13241323639457,350,115.34835170264701,Eastern San Joaquin,-120.9177,38.09752
WCR1989-012388,216.40832921013288,214.3930326065823,212.3777360030317,325,159.12886188265094,Eastern San Joaquin,-121.02995000000001,38.12641
WCR1989-012393,181.20469157931586,179.19107327276515,177.17745496621444,275,115.34835170264701,Eastern San Joaquin,-120.89958999999996,38.11205
WCR1989-012433,224.2091293898651,222.1934828393238,220.1778362887825,336,97.43493383494507,Eastern San Joaquin,-120.89980000000001,38.14118999999999
WCR1989-012439,284.3624757818557,282.34435981171424,280.32624384157276,420,81.50024538071347,Eastern San Joaquin,-120.88187,38.15606999999999
WCR1989-012444,129.31044891263932,127.29963501144577,125.28882111025223,200,72.53503674471494,Eastern San Joaquin,-120.84455,38.17091
WCR1989-012450,163.77414514772627,161.76142293769595,159.74870072766564,250,115.34835170264701,Eastern San Joaquin,-120.88109,38.11201999999999
WCR1989-012469,205.80229007900584,203.78748158326155,201.77267308751726,310,81.50024538071347,Eastern San Joaquin,-120.88187,38.15606999999999
WCR1989-012479,212.86889335131292,210.85375803367447,208.838622716036,320,97.43493383494507,Eastern San Joaquin,-120.9177,38.12660000000001
WCR1989-012480,212.86889335131292,210.85375803367447,208.838622716036,320,97.43493383494507,Eastern San Joaquin,-120.9177,38.12660000000001
WCR1989-012482,198.75245286162365,196.73797696571287,194.7235010698021,300,88.42613985083734,Eastern San Joaquin,-120.86306,38.141509999999975
WCR1989-012507,198.75245286162365,196.73797696571287,194.7235010698021,300,81.50024538071347,Eastern San Joaquin,-120.88187,38.15606999999999
WCR1989-012555,170.73164817504755,168.71856283266493,166.7054774902823,260,131.2616189910606,Eastern San Joaquin,-120.93594000000002,38.11199
WCR1989-012828,156.83710770245818,154.82475491249656,152.81240212253493,240,115.34835170264701,Eastern San Joaquin,-120.88109,38.11201999999999
WCR1989-012896,188.21027430352478,186.19630841726647,184.18234253100815,285,115.34835170264701,Eastern San Joaquin,-120.91772,38.11203999999999
WCR1990-000841,149.92132527166075,147.90934816138068,145.8973710511006,230,131.2616189910606,Eastern San Joaquin,-120.926944,38.101111
WCR1990-001760,234.1645781831667,232.14849570978063,230.13241323639457,350,81.50024538071347,Eastern San Joaquin,-120.9177,38.1705
